TransactionID,CustomerID,TransactionDate,ProductID,Amount,StoreID,PaymentMethod
TXN00000001,CUST000001,2024-08-16 23:24:46,PROD0040,89.79,STORE018,CREDIT
TXN00000002,CUST000001,2024-11-03 20:54:40,PROD0042,428.65,STORE011,DEBIT
TXN00000003,CUST000001,2024-06-08 15:02:49,PROD0050,35.26,STORE014,MOBILE
TXN00000004,CUST000002,2024-09-10 09:05:22,PROD0067,22.49,STORE004,MOBILE
TXN00000005,CUST000002,2024-06-05 03:25:35,PROD0074,131.6,STORE020,CREDIT
TXN00000006,CUST000002,2024-05-13 18:27:45,PROD0005,468.17,STORE007,CASH
TXN00000007,CUST000002,2024-08-21 08:18:45,PROD0047,43.07,STORE007,MOBILE
TXN00000008,CUST000002,2024-06-21 16:53:30,PROD0032,222.15,STORE018,CASH
TXN00000009,CUST000003,2024-08-31 06:28:44,PROD0052,70.44,STORE002,CREDIT
TXN00000010,CUST000003,2025-02-05 02:35:17,PROD0004,102.84,STORE015,DEBIT
TXN00000011,CUST000003,2024-05-22 19:00:15,PROD0009,487.11,STORE015,DEBIT
TXN00000012,CUST000004,2024-12-23 20:14:13,PROD0083,108.4,STORE004,CASH
TXN00000013,CUST000004,2024-06-28 00:28:54,PROD0090,85.86,STORE012,MOBILE
TXN00000014,CUST000004,2025-02-23 22:36:29,PROD0097,87.0,STORE018,DEBIT
TXN00000015,CUST000004,2025-02-02 17:37:14,PROD0080,373.13,STORE017,DEBIT
TXN00000016,CUST000004,2024-07-25 18:14:03,PROD0039,306.18,STORE015,MOBILE
TXN00000017,CUST000004,2025-03-15 06:56:06,PROD0037,52.07,STORE016,CASH
TXN00000018,CUST000005,2025-01-26 13:20:50,PROD0025,57.14,STORE011,MOBILE
TXN00000019,CUST000005,2024-06-06 02:21:27,PROD0071,351.68,STORE013,DEBIT
TXN00000020,CUST000005,2024-10-05 17:00:54,PROD0080,412.06,STORE017,CASH
TXN00000021,CUST000006,2025-01-20 09:44:08,PROD0061,91.54,STORE013,DEBIT
TXN00000022,CUST000006,2025-04-11 14:53:54,PROD0077,236.62,STORE006,DEBIT
TXN00000023,CUST000006,2024-07-11 14:21:15,PROD0014,50.61,STORE009,CREDIT
TXN00000024,CUST000006,2024-08-09 16:06:14,PROD0050,307.09,STORE005,CASH
TXN00000025,CUST000006,2025-02-16 15:35:55,PROD0052,49.06,STORE005,CREDIT
TXN00000026,CUST000006,2025-04-26 02:47:36,PROD0100,266.78,STORE007,DEBIT
TXN00000027,CUST000006,2024-06-12 23:04:28,PROD0077,176.79,STORE017,CREDIT
TXN00000028,CUST000006,2024-06-11 12:40:47,PROD0027,286.17,STORE017,CREDIT
TXN00000029,CUST000007,2025-02-07 22:06:56,PROD0065,312.79,STORE002,CREDIT
TXN00000030,CUST000007,2024-09-02 10:36:38,PROD0024,222.19,STORE014,DEBIT
TXN00000031,CUST000007,2024-09-27 21:56:45,PROD0009,64.69,STORE013,DEBIT
TXN00000032,CUST000007,2025-03-25 14:27:11,PROD0058,114.17,STORE010,CASH
TXN00000033,CUST000007,2025-02-05 22:59:16,PROD0059,234.99,STORE009,DEBIT
TXN00000034,CUST000007,2025-01-05 21:39:22,PROD0069,107.37,STORE010,DEBIT
TXN00000035,CUST000007,2025-03-22 10:24:57,PROD0046,271.99,STORE015,MOBILE
TXN00000036,CUST000007,2025-01-31 22:29:17,PROD0088,336.82,STORE002,DEBIT
TXN00000037,CUST000007,2025-03-01 11:33:51,PROD0063,444.15,STORE006,DEBIT
TXN00000038,CUST000007,2024-12-30 12:39:37,PROD0020,340.39,STORE016,CASH
TXN00000039,CUST000008,2024-12-12 05:51:02,PROD0092,110.65,STORE017,CASH
TXN00000040,CUST000008,2024-05-31 14:12:07,PROD0037,180.53,STORE016,CREDIT
TXN00000041,CUST000008,2025-04-06 17:58:54,PROD0087,483.17,STORE008,DEBIT
TXN00000042,CUST000008,2025-04-07 12:50:24,PROD0037,276.45,STORE014,MOBILE
TXN00000043,CUST000009,2024-09-14 23:33:12,PROD0074,283.33,STORE002,CREDIT
TXN00000044,CUST000009,2024-12-24 08:34:42,PROD0054,449.56,STORE012,DEBIT
TXN00000045,CUST000009,2024-05-15 21:49:11,PROD0022,32.27,STORE007,CREDIT
TXN00000046,CUST000009,2024-11-08 05:30:35,PROD0025,72.62,STORE019,DEBIT
TXN00000047,CUST000009,2024-12-23 06:32:05,PROD0043,430.62,STORE020,CREDIT
TXN00000048,CUST000009,2024-08-24 23:20:04,PROD0092,267.57,STORE017,CASH
TXN00000049,CUST000009,2024-10-08 00:46:40,PROD0001,93.64,STORE002,DEBIT
TXN00000050,CUST000009,2025-03-10 16:15:32,PROD0055,185.3,STORE004,MOBILE
TXN00000051,CUST000010,2024-07-01 02:15:38,PROD0091,115.59,STORE005,CREDIT
TXN00000052,CUST000010,2024-10-22 23:40:09,PROD0045,482.08,STORE010,MOBILE
TXN00000053,CUST000011,2024-06-10 06:24:12,PROD0069,160.71,STORE009,CASH
TXN00000054,CUST000012,2024-09-27 01:17:03,PROD0009,371.65,STORE016,CASH
TXN00000055,CUST000012,2025-03-27 20:41:39,PROD0079,422.91,STORE001,CREDIT
TXN00000056,CUST000012,2024-12-19 06:51:34,PROD0068,473.62,STORE002,MOBILE
TXN00000057,CUST000012,2024-05-20 07:50:41,PROD0039,180.87,STORE008,DEBIT
TXN00000058,CUST000012,2025-03-19 03:32:08,PROD0033,37.64,STORE020,DEBIT
TXN00000059,CUST000012,2025-01-05 00:32:27,PROD0011,203.22,STORE009,CASH
TXN00000060,CUST000012,2024-11-15 17:48:08,PROD0040,236.75,STORE018,CASH
TXN00000061,CUST000012,2024-08-23 00:43:28,PROD0001,105.11,STORE013,DEBIT
TXN00000062,CUST000012,2024-08-27 13:11:22,PROD0065,337.93,STORE004,MOBILE
TXN00000063,CUST000013,2024-07-15 11:43:22,PROD0008,40.56,STORE010,CASH
TXN00000064,CUST000013,2024-12-22 19:52:08,PROD0024,378.02,STORE007,CASH
TXN00000065,CUST000013,2024-05-27 21:41:50,PROD0024,404.53,STORE014,MOBILE
TXN00000066,CUST000013,2025-04-19 14:21:03,PROD0028,376.77,STORE007,CASH
TXN00000067,CUST000014,2024-06-16 05:49:44,PROD0028,361.98,STORE017,MOBILE
TXN00000068,CUST000014,2024-12-23 12:42:03,PROD0078,467.05,STORE007,DEBIT
TXN00000069,CUST000014,2024-12-05 22:47:09,PROD0085,305.58,STORE006,MOBILE
TXN00000070,CUST000014,2024-09-18 23:09:40,PROD0090,24.43,STORE014,DEBIT
TXN00000071,CUST000014,2024-08-19 08:11:25,PROD0075,291.58,STORE014,CASH
TXN00000072,CUST000014,2024-10-17 00:31:53,PROD0058,71.46,STORE002,MOBILE
TXN00000073,CUST000014,2024-09-06 22:54:43,PROD0081,144.34,STORE008,DEBIT
TXN00000074,CUST000014,2025-04-29 08:56:22,PROD0053,482.94,STORE002,DEBIT
